"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Asda","11/03/2017 05:10","11/03/2017 12:47","7:37","","","","","",""
"Asda","13/03/2017 05:06","13/03/2017 12:47","7:41","","","","","",""
"Asda","14/03/2017 10:09","14/03/2017 19:52","9:43","","","","","",""
"Asda","15/03/2017 09:20","15/03/2017 11:49","2:29","","","","","",""
"Asda","16/03/2017 05:03","16/03/2017 13:18","8:15","","","","","",""
"Asda","17/03/2017 05:04","17/03/2017 12:13","7:09","","","","","",""
"Asda","18/03/2017 04:53","18/03/2017 12:30","7:37","","","","","",""
"Asda","20/03/2017 05:00","20/03/2017 12:03","7:03","","","","","",""
"Asda","21/03/2017 13:09","21/03/2017 22:00","8:51","","","","","",""
"Asda","23/03/2017 05:08","23/03/2017 12:04","6:56","","","","","",""
"Asda","24/03/2017 05:24","24/03/2017 12:06","6:42","","","","","",""
"Asda","25/03/2017 04:59","25/03/2017 12:00","7:01","","","","","",""
"Asda","27/03/2017 05:00","27/03/2017 12:10","7:10","","","","","",""
"Asda","28/03/2017 05:03","28/03/2017 12:13","7:10","","","","","",""
"Asda","30/03/2017 05:01","30/03/2017 12:01","7:00","","","","","",""
"Asda","31/03/2017 05:05","31/03/2017 12:03","6:58","","","","","",""
"Asda","01/04/2017 04:59","01/04/2017 12:08","7:09","","","","","",""
"Asda","03/04/2017 05:03","03/04/2017 11:47","6:44","","","","","",""
"Asda","04/04/2017 13:04","04/04/2017 20:53","7:49","","","","","",""
"Asda","06/04/2017 05:10","06/04/2017 12:37","7:27","","","","","",""
"Asda","07/04/2017 05:12","07/04/2017 13:09","7:57","","","","","",""
"Asda","08/04/2017 05:06","08/04/2017 12:08","7:02","","","","","",""
"Asda","10/04/2017 04:48","10/04/2017 12:05","7:17","","","","","",""
"Asda","11/04/2017 12:56","11/04/2017 20:45","7:49","","","","","",""
"Asda","13/04/2017 04:40","13/04/2017 12:34","7:54","","","","","",""
"Asda","15/04/2017 04:35","15/04/2017 12:06","7:31","","","","","",""
"Asda","18/04/2017 13:01","18/04/2017 22:19","9:18","","","","","",""
"Asda","20/04/2017 05:01","20/04/2017 12:07","7:06","","","","","",""
"Asda","21/04/2017 05:07","21/04/2017 12:00","6:53","","","","","",""
"Asda","22/04/2017 05:13","22/04/2017 11:32","6:19","","","","","",""
"Asda","24/04/2017 13:04","24/04/2017 22:00","8:56","","","","","",""
"Asda","25/04/2017 11:16","25/04/2017 21:36","10:20","","","","","",""
"Asda","27/04/2017 05:05","27/04/2017 12:00","6:55","","","","","",""
"Asda","29/04/2017 05:06","29/04/2017 12:45","7:39","","","","","",""
"Asda","01/05/2017 13:57","01/05/2017 22:18","8:21","","","","","",""
"Asda","02/05/2017 13:30","02/05/2017 22:33","9:03","","","","","",""
"Asda","04/05/2017 05:00","04/05/2017 11:37","6:37","","","","","",""
"Asda","05/05/2017 05:10","05/05/2017 12:04","6:54","","","","","",""
"Asda","06/05/2017 05:12","06/05/2017 09:46","4:34","","","","","",""
"Asda","08/05/2017 04:58","08/05/2017 11:55","6:57","","","","","",""
"Asda","09/05/2017 13:09","09/05/2017 22:49","9:40","","","","","",""
"Asda","11/05/2017 05:03","11/05/2017 09:38","4:35","","","","","",""
"Asda","11/05/2017 11:18","11/05/2017 13:33","2:15","","","","","",""
